2023-01-31_13:48:05; file; 43; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadStoreInLoopHeader.java
2023-01-31_13:48:05; file; 43; 0; lines; 66
2023-01-31_13:48:05; file; 43; 0; basename; DeadStoreInLoopHeader.java
2023-01-31_13:48:05; file; 43; 0; size; 1266
2023-01-31_13:48:05; file; 43; 0; abort; 1_0
2023-01-31_13:48:05; file; 44; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadInitializerWithRootWriteInNestedBlock.java
2023-01-31_13:48:05; file; 44; 0; lines; 26
2023-01-31_13:48:05; file; 44; 0; basename; DeadInitializerWithRootWriteInNestedBlock.java
2023-01-31_13:48:05; file; 44; 0; size; 820
2023-01-31_13:48:05; file; 44; 0; abort; 1_0
2023-01-31_13:48:05; file; 45; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/UnaryOpsInStatementPosition.java
2023-01-31_13:48:05; file; 45; 0; lines; 26
2023-01-31_13:48:05; file; 45; 0; basename; UnaryOpsInStatementPosition.java
2023-01-31_13:48:05; file; 45; 0; size; 525
2023-01-31_13:48:05; file; 45; 0; abort; 1_0
2023-01-31_13:48:05; file; 46; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/ViolationAndNonViolationOnSameLine.java
2023-01-31_13:48:05; file; 46; 0; lines; 11
2023-01-31_13:48:05; file; 46; 0; basename; ViolationAndNonViolationOnSameLine.java
2023-01-31_13:48:05; file; 46; 0; size; 229
2023-01-31_13:48:05; file; 46; 0; abort; 1_0
2023-01-31_13:48:05; file; 47; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/MultipleDeadStoresInARow.java
2023-01-31_13:48:05; file; 47; 0; lines; 14
2023-01-31_13:48:05; file; 47; 0; basename; MultipleDeadStoresInARow.java
2023-01-31_13:48:05; file; 47; 0; size; 423
2023-01-31_13:48:05; file; 47; 0; abort; 1_0
2023-01-31_13:48:05; file; 48; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/ReadFromDeadStore.java
2023-01-31_13:48:05; file; 48; 0; lines; 24
2023-01-31_13:48:05; file; 48; 0; basename; ReadFromDeadStore.java
2023-01-31_13:48:05; file; 48; 0; size; 585
2023-01-31_13:48:05; file; 48; 0; abort; 1_0
2023-01-31_13:48:05; file; 49; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/ShouldNotRemoveListAddAll.java
2023-01-31_13:48:05; file; 49; 0; lines; 14
2023-01-31_13:48:05; file; 49; 0; basename; ShouldNotRemoveListAddAll.java
2023-01-31_13:48:05; file; 49; 0; size; 415
2023-01-31_13:48:05; file; 49; 0; abort; 1_0
2023-01-31_13:48:05; file; 50; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadInitializerWithUseInNestedBlock.java
2023-01-31_13:48:05; file; 50; 0; lines; 21
2023-01-31_13:48:05; file; 50; 0; basename; DeadInitializerWithUseInNestedBlock.java
2023-01-31_13:48:05; file; 50; 0; size; 535
2023-01-31_13:48:05; file; 50; 0; abort; 1_0
2023-01-31_13:48:05; file; 51; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/MultiLineJointLocalVariableDeclarations.java
2023-01-31_13:48:05; file; 51; 0; lines; 23
2023-01-31_13:48:05; file; 51; 0; basename; MultiLineJointLocalVariableDeclarations.java
2023-01-31_13:48:05; file; 51; 0; size; 772
2023-01-31_13:48:05; file; 51; 0; abort; 1_0
2023-01-31_13:48:05; file; 52; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/NOCOMPILE_ShouldNotRemoveUnresolvedMethod.java
2023-01-31_13:48:05; file; 52; 0; lines; 12
2023-01-31_13:48:05; file; 52; 0; basename; NOCOMPILE_ShouldNotRemoveUnresolvedMethod.java
2023-01-31_13:48:05; file; 52; 0; size; 366
2023-01-31_13:48:05; file; 52; 0; abort; 1_0
2023-01-31_13:48:05; file; 53; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadStoreWithInvocation.java
2023-01-31_13:48:05; file; 53; 0; lines; 19
2023-01-31_13:48:05; file; 53; 0; basename; DeadStoreWithInvocation.java
2023-01-31_13:48:05; file; 53; 0; size; 521
2023-01-31_13:48:05; file; 53; 0; abort; 1_0
